record,subsystem,category,on_css,in_profile,in_baseline,css_fields,css_screens,profile_device,profile_dotted,classname,read_only
FE:C12A-VA{GV:2}Cmd:Cls-Cmd,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Cmd:Opn-Cmd,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Err-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi common/va/_valve-fe.bob,,,,
FE:C12A-VA{GV:2}Pos-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi common/va/_valve-fe.bob,,,,
FE:C12A-VA{GV:2}Sts:Coil-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Sts:DS_Intlk-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi common/va/_valve-fe.bob,,,,
FE:C12A-VA{GV:2}Sts:FailCls-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Sts:FailOpn-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Sts:US_Intlk-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi common/va/_valve-fe.bob,,,,
FE:C12A-VA{GV:2}Sw:ClsLim-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
FE:C12A-VA{GV:2}Sw:OpnLim-Sts,va,css_only,1,0,0,,common/eps/fe-gv2.opi,,,,
HFM:GET-ERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
HFM:GET-LASTERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
HFM:GET-MODE,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
HFM:GET-STATUS,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-mbbi.bob,,,,
HFM:GET-STATUS0,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch0_status,EpicsSignalRO,RO
HFM:GET-STATUS1,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch1_status,EpicsSignalRO,RO
HFM:GET-STATUS10,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch10_status,EpicsSignalRO,RO
HFM:GET-STATUS11,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch11_status,EpicsSignalRO,RO
HFM:GET-STATUS12,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch12_status,EpicsSignalRO,RO
HFM:GET-STATUS13,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch13_status,EpicsSignalRO,RO
HFM:GET-STATUS14,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch14_status,EpicsSignalRO,RO
HFM:GET-STATUS15,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch15_status,EpicsSignalRO,RO
HFM:GET-STATUS2,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch2_status,EpicsSignalRO,RO
HFM:GET-STATUS3,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch3_status,EpicsSignalRO,RO
HFM:GET-STATUS4,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch4_status,EpicsSignalRO,RO
HFM:GET-STATUS5,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch5_status,EpicsSignalRO,RO
HFM:GET-STATUS6,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch6_status,EpicsSignalRO,RO
HFM:GET-STATUS7,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch7_status,EpicsSignalRO,RO
HFM:GET-STATUS8,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch8_status,EpicsSignalRO,RO
